coating 3137
housing 1826
ring 1761
building 974
spring 947
packaging 743
recording 518
casing 490
plating 401
string 399
bushing 388
tubing 355
grating 300
covering 248
lighting 203
lining 196
mining 185
clothing 150
wing 141
ceiling 118
gearing 114
sheeting 100
sling 100
meeting 77
bearing 58
cladding 58
saving 58
painting 55
awning 52
dwelling 42
earring 32
padding 30
backlighting 30
stocking 29
railing 29
footing 28
branching 26
halftoning 25
dicing 25
reasoning 25
wagering 25
breeding 24
cabling 24
electroplating 23
banking 23
bedding 22
being 22
roving 20
netting 20
seedling 17
belting 16
matting 16
roofing 15
offspring 11
meaning 11
