emulsion 1136
suspension 1007
compression 799
dispersion 690
emission 663
expression 453
suppression 439
extension 431
corrosion 322
transmission 292
expansion 289
adhesion 284
diffusion 266
fusion 260
hypertension 233
extrusion 223
occlusion 149
inversion 118
tension 114
collision 111
propulsion 102
infusion 97
decompression 94
erosion 80
protrusion 71
provision 61
providing
incision 50
perfusion 46
intrusion 44
explosion 41
supervision 34
diversion 33
retransmission 31
revision 27
regression 27
immersion 23
immunosuppression 23
abrasion 22
submission 18
transfusion 17
exclusion 16
invasion 15
succession 12
