aberration 88
ablation 338
abortion 11
absorption 215
abstraction 40
acceleration 184
accommodation 31
accumulation 73
acquisition 385
action 489
activation 361
actuation 200
acylation 13
adaptation 159
addiction 55
addition 194
administration 293
adsorption 227
aeration 23
agglomeration 43
aggregation 298
agitation 47
alkylation 149
allocation 407
alteration 60
amination 22
ammoxidation 17
ammunition 71
amplification 388
animation 114
annotation 113
anodization 26
anonymization 13
anticipation 16
approximation 49
arbitration 72
aromatization 11
articulation 20
aspiration 21
assertion 17
association 114
atomization 26
attention 19
attenuation 100
attestation 14
attraction 29
attribution 24
auction 84
augmentation 126
authentication 848
authorization 129
autocorrelation 12
automation 161
beneficiation 38
bifurcation 47
bioremediation 16
calcification 36
calcination 23
calculation 208
calibration 742
cancellation 315
carbonation 13
carbonization 14
carbonylation 29
categorization 65
catheterization 17
cation 65
cavitation 50
centrifugation 26
certification 33
cessation 16
characterization 281
chlorination 32
circulation 132
clarification 40
classification 423
coagulation 45
cognition 12
collaboration 125
collection 418
collimation 14
coloration 18
combination 515
combustion 391
commutation 14
compaction 50
compensation 1268
competition 45
compilation 36
complementation 15
completion 195
complication 51
composition 10092
Composition 21
computation 225
concatenation 14
concentration 548
condensation 109
conduction 55
confection 77
confirmation 58
conformation 24
congestion 65
conjugation 21
conservation 61
consideration 31
consolidation 77
constellation 54
constipation 11
constriction 16
consultation 11
consumption 611
contamination 222
contention 33
contraception 32
contraction 38
contribution 25
conversation 116
convolution 27
cooperation 15
coordination 73
copolymerization 39
correlation 256
corrugation 12
corruption 24
creation 186
cross-section 57
cryopreservation 17
crystallization 222
cultivation 46
customization 75
deactivation 107
Dearsenication 0
deceleration 49
decimation 15
decomposition 154
decontamination 65
deconvolution 24
decoration 59
decryption 46
de-duplication 26
deduplication 97
defibrillation 26
definition 136
deflection 96
defluorination 0
deformation 117
degeneration 113
degradation 236
dehumidification 24
dehydration 46
dehydrogenation 91
deionization 12
delamination 23
deletion 41
delignification 12
demetallization 15
demodulation 58
demonstration 19
denervation 16
denitrification 14
densification 23
depiction 11
depletion 37
depolymerization 13
derivation 23
derivatization 11
desalination 49
description 101
designation 31
desorption 31
destination 141
destruction 57
desulfurization 88
deterioration 35
determination 909
detonation 14
detoxification 23
deviation 83
differentiation 116
diffraction 51
digestion 79
dilation 16
dilution 42
dimerization 40
direction 530
disambiguation 16
discoloration 21
disconnection 26
discrimination 135
disinfection 52
dislocation 12
disposition 15
disproportionation 33
disruption 37
dissection 36
dissemination 23
dissipation 115
dissociation 11
dissolution 28
distillation 750
distortion 266
distraction 33
distribution 1213
donation 14
duplication 23
duration 101
dysfunction 335
education 42
ejaculation 14
ejection 43
election 11
electrodeposition 63
electromigration 28
electroporation 36
elevation 33
elimination 92
elongation 27
elution 14
embolization 13
emotion 11
emulation 96
emulsification 20
encapsulation 170
encryption 245
epoxidation 23
equalization 169
equation 47
eradication 12
erection 27
esterification 40
estimation 754
etherification 12
evacuation 22
evaluation 378
evaporation 104
evolution 68
examination 137
excavation 28
exception 44
excitation 114
execution 421
exfoliation 14
exploration 152
extraction 918
extrapolation 21
factorization 31
federation 12
fermentation 398
fertigation 12
fertilization 21
fibrillation 103
filtration 289
fixation 235
flocculation 24
flotation 163
fluctuation 63
fluorination 48
